Source_Location_X,Source_Location_Y,Source_Emission_rate
300,300,0.0091641
99,127,0.0056126
70,70,0.0094178
180,180,0.014301
100,100,0.00612
300,300,0.011859
246,97,0.011764
70,70,0.014523
180,180,0.0073884
100,100,0.012367
300,300,0.01465
194,217,0.005898
70,70,0.015411
180,180,0.0033612
100,100,0.0092593
300,300,0.0085299
34,175,0.00057078
70,70,0.014872
180,180,0.00022197
100,100,0.011384
300,300,0.0044711
127,73,0.0055175
70,70,0.0068176
180,180,0.0087202
100,100,0.0082445
300,300,0.0038052
97,306,0.014555
70,70,0.015728
180,180,0.0092593
100,100,0.0011733
300,300,0.014491
217,311,0.0024734
70,70,0.0085616
180,180,0.0053272
100,100,0.012906
300,300,0.01094
175,96,0.0060566
70,70,0.011384
180,180,0.0012684
100,100,0.015252
300,300,0.0048833
73,378,0.011764
70,70,0.001966
180,180,0.0093227
100,100,0.0044077
300,300,0.013382
306,357,0.00060249
70,70,0.00069762
180,180,0.013033
100,100,0.011733
300,300,0.0032978
311,207,0.015062
70,70,0.0091324
180,180,0.0060883
100,100,0.015348
300,300,0.0064688
96,196,0.012113
70,70,0.0077689
180,180,0.014777
100,100,0.011701
300,300,0.0029807
378,188,0.0040271
70,70,0.00095129
180,180,0.0093544
100,100,0.0019026
300,300,0.0084982
357,329,0.0052321
70,70,0.0062468
180,180,0.0039637
100,100,0.0058029
300,300,0.011352
207,52,0.0059614
70,70,0.013096
180,180,0.0065956
100,100,0.011606
300,300,0.0062151
196,110,0.0098617
70,70,0.0045979
180,180,0.0026953
100,100,0.002188
300,300,0.001744
188,286,0.015316
70,70,0.013064
180,180,0.0023148
100,100,0.014682
300,300,0.0078323
329,278,0.0069762
70,70,0.0092593
180,180,0.0062468
100,100,0.0023782
300,300,0.0099886
52,255,0.010464
70,70,0.01484
180,180,0.012969
100,100,0.0081811
300,300,0.0076738
110,79,0.011035
70,70,0.0069127
180,180,0.015538
100,100,0.010337
300,300,0.0079909
286,362,0.0093544
70,70,0.0066591
180,180,0.0043125
100,100,0.0091007
300,300,0.0055809
278,171,0.011701
70,70,0.0075786
180,180,0.014682
100,100,0.0086568
300,300,0.0064688
255,87,0.0067859
70,70,0.014935
180,180,0.0040271
100,100,0.015791
300,300,0.011923
79,224,0.0054224
70,70,0.0085299
180,180,0.014872
100,100,0.0046613
300,300,0.01205
362,399,0.0066908
70,70,0.0067225
180,180,0.010972
100,100,0.0061834
300,300,0.0026636
171,385,0.010908
70,70,0.010876
180,180,0.014967
100,100,0.00028539
300,300,0.0022831
87,32,0.0049784
70,70,0.000983
180,180,0.015284
100,100,0.011035
300,300,0.0094495
224,30,0.010528
70,70,0.010179
180,180,0.015379
100,100,0.014491
300,300,0.01224
399,194,0.0033612
70,70,0.0096081
180,180,0.015284
100,100,0.0017123
300,300,0.0042174
385,29,0.0032027
70,70,0.0090373
180,180,0.014713
100,100,0.011986
300,300,0.014238
32,144,0.0093544
70,70,0.00044394
180,180,0.012938
100,100,0.0093227
300,300,0.014745
30,382,0.013857
70,70,0.01335
180,180,0.00091958
100,100,0.00079274
300,300,0.008086
194,76,0.0033612
70,70,0.0027905
180,180,0.0096398
100,100,0.014555
300,300,0.015601
29,162,0.0094178
70,70,0.012938
180,180,0.011352
100,100,0.013477
300,300,0.0047565
144,388,0.0090056
70,70,0.014999
180,180,0.014143
100,100,0.0014904
300,300,0.012969
382,388,0.003932
70,70,0.0011416
180,180,0.0037735
100,100,0.0072298
300,300,0.0025051
76,109,0.00066591
70,70,0.011637
180,180,0.0034247
100,100,0.0079274
300,300,0.0049784
162,153,0.0056126
70,70,0.0047565
180,180,0.012335
100,100,0.0091958
300,300,0.0058346
388,71,0.0029173
70,70,0.00022197
180,180,0.000983
100,100,0.010781
300,300,0.01354
388,168,0.011511
70,70,0.0023782
180,180,0.012494
100,100,0.0080543
300,300,0.01484
109,327,0.010211
70,70,0.00028539
180,180,0.00082445
100,100,0.015696
300,300,0.003932
153,346,0.0078323
70,70,0.0045028
180,180,0.0066908
100,100,0.014682
300,300,0.010084
71,198,0.0059614
70,70,0.0033612
180,180,0.0078323
100,100,0.012399
300,300,0.014143
168,362,0.00022197
70,70,0.0040271
180,180,0.0091324
100,100,0.00012684
300,300,0.0054858
327,346,0.0069444
70,70,0.013191
180,180,0.0064688
100,100,0.006342
300,300,0.0050736
346,211,0.0072615
70,70,0.01354
180,180,0.00057078
100,100,0.014396
300,300,0.012113
198,256,0.00022197
70,70,0.013096
180,180,0.0023782
100,100,0.0034881
300,300,0.013604
362,256,0.012747
70,70,0.0066591
180,180,0.015411
100,100,0.00066591
300,300,0.0076738
346,358,0.014555
70,70,0.01262
180,180,0.015696
100,100,0.0092275
300,300,0.01446
211,239,0.0057712
70,70,0.015189
180,180,0.001966
100,100,0.013096
300,300,0.0062468
256,155,0.0067542
70,70,0.0044394
180,180,0.0049467
100,100,0.01576
300,300,0.007864
256,262,0.0029173
70,70,0.01465
180,180,0.0097983
100,100,0.015633
300,300,0.0096398
358,242,0.0093227
70,70,0.0060249
180,180,0.014491
100,100,0.011225
300,300,0.01335
239,266,0.0084665
70,70,0.0039637
180,180,0.0038052
100,100,0.0039954
300,300,0.01465
155,96,0.0071347
70,70,0.0034881
180,180,0.0075152
100,100,0.014365
300,300,0.0060566
262,259,0.0084665
70,70,0.003932
180,180,0.0022514
100,100,0.01002
300,300,0.0034247
242,167,0.0075786
70,70,0.011764
180,180,0.012557
100,100,0.004915
300,300,0.010781
266,95,0.0045979
70,70,0.0060566
180,180,0.0068176
100,100,0.0048199
300,300,6.34E-05
96,347,0.011035
70,70,0.01243
180,180,0.0039954
100,100,0.013667
300,300,0.0040906
259,73,0.012113
70,70,0.012335
180,180,0.0044711
100,100,0.012684
300,300,0.01132
167,399,0.0018392
70,70,0.010306
180,180,0.0070079
100,100,0.0065322
300,300,0.0027588
95,389,0.0087202
70,70,0.00047565
180,180,0.0097983
100,100,0.0027588
300,300,0.011828
347,337,0.0097983
70,70,0.01316
180,180,0.0032027
100,100,0.0034881
300,300,0.010623
73,234,0.015474
70,70,0.015411
180,180,0.0067859
100,100,0.010433
300,300,0.0025368
399,286,0.0027905
70,70,0.011669
180,180,0.0025051
100,100,0.002949
300,300,0.01075
389,70,0.0028856
70,70,0.0075786
180,180,0.012081
100,100,0.00015855
300,300,0.0071981
337,94,0.0049467
70,70,0.012684
180,180,0.012367
100,100,0.0066591
300,300,0.013984
234,350,0.011035
70,70,0.00012684
180,180,0.015791
100,100,0.0084982
300,300,0.00371
286,271,0.011796
70,70,0.011479
180,180,0.015443
100,100,0.0044711
300,300,0.0039954
70,32,0.0025368
70,70,0.0069444
180,180,0.011542
100,100,0.014777
300,300,0.014174
94,163,0.0036149
70,70,0.0056126
180,180,0.015506
100,100,0.0017757
300,300,0.0097349
350,44,0.011447
70,70,0.0038052
180,180,0.0072298
100,100,0.014174
300,300,0.0072615
271,383,0.0062468
70,70,0.0087836
180,180,0.013825
100,100,0.0053272
300,300,0.00082445
32,253,0.015094
70,70,0.0010147
180,180,0.014713
100,100,0.005137
300,300,0.0078006
163,130,0.013445
70,70,0.0016806
180,180,0.015316
100,100,0.012557
300,300,0.0052638
44,215,0.012462
70,70,0.0057078
180,180,0.011859
100,100,0.0026636
300,300,0.00076104
383,212,0.015062
70,70,0.00022197
180,180,0.011542
100,100,0.0066591
300,300,0.0074835
253,127,0.0025685
70,70,0.0062151
180,180,0.0015855
100,100,0.008086
300,300,0.01373
130,209,0.0077689
70,70,0.0082128
180,180,0.0043442
100,100,0.0069762
300,300,0.0027905
215,304,0.00034881
70,70,0.0032027
180,180,0.0075152
100,100,0.012208
300,300,0.0032661
212,199,0.0031076
70,70,0.0045028
180,180,0.001205
100,100,0.0048516
300,300,0.014523
127,160,0.0066273
70,70,0.0087519
180,180,0.00057078
100,100,0.0062151
300,300,0.010369
209,166,0.0064054
70,70,0.010845
180,180,0.014428
100,100,0.012113
300,300,0.004154
304,115,0.0016806
70,70,0.014491
180,180,0.0093227
100,100,0.013001
300,300,0.010242
199,286,0.0022197
70,70,0.011796
180,180,0.010781
100,100,0.0028222
300,300,0.0051053
160,206,0.01094
70,70,0.013064
180,180,0.0030758
100,100,0.0044711
300,300,0.0088153
166,22,0.0036149
70,70,0.0045028
180,180,0.014174
100,100,0.014777
300,300,0.01446
115,324,0.012684
70,70,0.013825
180,180,0.00066591
100,100,0.00066591
300,300,0.0072615
286,41,0.0018392
70,70,0.013445
180,180,0.0044711
100,100,0.0047882
300,300,0.00371
206,120,0.004915
70,70,0.001744
180,180,0.0051687
100,100,0.0040906
300,300,0.012811
22,236,0.011162
70,70,0.0017123
180,180,0.0024734
100,100,0.004693
300,300,0.010433
324,190,0.01465
70,70,0.014174
180,180,0.013572
100,100,0.0026636
300,300,0.0055175
41,283,0.0083714
70,70,0.010242
180,180,0.011669
100,100,0.00066591
300,300,0.0065322
120,280,0.002727
70,70,0.0068493
180,180,0.0093227
100,100,0.0067225
300,300,0.013096
236,398,0.0077689
70,70,0.00085616
180,180,0.0097032
100,100,0.015823
300,300,0.0049467
190,356,0.00057078
70,70,0.00034881
180,180,0.0048199
100,100,0.013921
300,300,0.0073884
283,236,0.0045028
70,70,0.0055809
180,180,0.01484
100,100,9.51E-05
300,300,0.0087836
280,183,0.013635
70,70,0.012399
180,180,0.001744
100,100,0.01132
300,300,0.0047248
398,99,0.014904
70,70,0.0025685
180,180,0.0029173
100,100,0.0080226
300,300,0.0022831
356,393,0.0015538
70,70,0.0019026
180,180,0.0028539
100,100,0.0036466
300,300,0.00047565
236,391,0.002727
70,70,0.007103
180,180,0.01132
100,100,0.0069444
300,300,0.011067
183,395,0.0010147
70,70,0.014111
180,180,0.0062151
100,100,0.013667
300,300,0.0047882
99,58,0.015443
70,70,0.011796
180,180,0.010401
100,100,0.0014269
300,300,0.0076738
393,55,0.0066273
70,70,0.0057395
180,180,0.013096
100,100,0.0042491
300,300,0.0012367
391,137,0.010179
70,70,0.0019026
180,180,0.0031393
100,100,0.013699
300,300,0.0086251
395,55,0.0091324
70,70,0.013889
180,180,0.012906
100,100,0.0078957
300,300,0.01335
58,252,0.0068176
70,70,0.0048199
180,180,0.011606
100,100,0.0029173
300,300,0.0038369
55,252,0.015601
70,70,0.00041223
180,180,0.015633
100,100,0.015443
300,300,0.011669
137,77,0.015094
70,70,0.0045662
180,180,0.0032978
100,100,0.013382
300,300,0.0018709
55,350,0.012145
70,70,0.0077689
180,180,0.014174
100,100,0.0071347
300,300,0.014745
252,238,0.0027588
70,70,0.0081494
180,180,0.0045028
100,100,0.00088787
300,300,0.0073567
252,43,0.0026636
70,70,0.00028539
180,180,0.014808
100,100,0.011035
300,300,0.010464
77,179,0.0014904
70,70,0.010972
180,180,0.013255
100,100,0.007325
300,300,0.0057712
350,246,0.013508
70,70,0.004915
180,180,0.0011416
100,100,0.010718
300,300,0.0017123
238,237,0.0039954
70,70,0.011003
180,180,0.005359
100,100,0.0015538
300,300,0.0062785
43,230,0.011098
70,70,0.01446
180,180,0.014999
100,100,0.0055809
300,300,0.011003
179,179,0.015252
70,70,0.0033929
180,180,0.0083714
100,100,0.0067859
300,300,0.0089739
246,130,0.014079
70,70,0.012113
180,180,0.010876
100,100,0.0018392
300,300,0.011162
237,133,0.0020611
70,70,0.0094178
180,180,0.010084
100,100,0.0091641
300,300,0.0055492
230,314,0.0099886
70,70,0.01465
180,180,0.011416
100,100,0.014428
300,300,0.0030441
179,324,0.012938
70,70,0.0074518
180,180,0.01373
100,100,0.0052638
300,300,0.010781
130,86,0.00082445
70,70,0.01503
180,180,0.0094178
100,100,0.0015855
300,300,0.0061517
133,392,0.0078006
70,70,0.001966
180,180,0.013794
100,100,0.0031393
300,300,0.0062468
314,202,0.012272
70,70,0.010781
180,180,0.010781
100,100,0.0032344
300,300,0.0071347
324,138,0.012145
70,70,0.013762
180,180,0.014111
100,100,0.0042491
300,300,0.007864
86,250,0.014967
70,70,0.0064688
180,180,0.0052004
100,100,0.0011416
300,300,0.0015538
392,292,0.0099886
70,70,0.012208
180,180,0.00025368
100,100,0.0071664
300,300,0.001744
202,332,0.015506
70,70,0.0073567
180,180,0.0046613
100,100,0.0078323
300,300,0.015823
138,318,0.0074201
70,70,0.0058663
180,180,0.007103
100,100,0.012906
300,300,0.013825
250,236,0.0068176
70,70,0.0040906
180,180,0.0076104
100,100,0.013794
300,300,0.015316
292,44,0.0013001
70,70,0.010433
180,180,0.0026002
100,100,0.01002
300,300,0.0020611
332,72,0.0017123
70,70,0.0056761
180,180,0.0032978
100,100,0.0095129
300,300,0.0012367
318,387,0.011035
70,70,0.0074518
180,180,0.0012367
100,100,0.010401
300,300,0.0097666
236,37,0.0042174
70,70,0.015157
180,180,0.00082445
100,100,0.0093544
300,300,0.014777
44,115,0.0079592
70,70,0.013635
180,180,0.001744
100,100,0.0064371
300,300,0.00053907
72,193,0.010306
70,70,0.011891
180,180,0.00091958
100,100,0.01335
300,300,0.0034564
387,321,0.0065322
70,70,0.004376
180,180,0.015252
100,100,0.005898
300,300,0.0082445
37,343,0.014587
70,70,0.011098
180,180,0.0044711
100,100,0.0013001
300,300,0.0047248
115,280,0.012938
70,70,0.005137
180,180,0.0018075
100,100,0.0003171
300,300,0.0012367
193,147,0.001205
70,70,0.015791
180,180,0.0090373
100,100,0.013001
300,300,0.010147
321,157,0.0026953
70,70,0.011289
180,180,0.013508
100,100,0.012557
300,300,0.0016172
343,400,0.013508
70,70,0.015157
180,180,0.00019026
100,100,0.013191
300,300,0.00047565
280,308,0.011067
70,70,0.0081177
180,180,0.015284
100,100,0.012145
300,300,0.015284
147,206,0.006342
70,70,0.014777
180,180,0.0077372
100,100,0.0019343
300,300,0.0042491
157,33,0.0090056
70,70,0.0078957
180,180,0.0050419
100,100,0.0091324
300,300,0.0061834
400,254,0.0026002
70,70,0.014174
180,180,0.013413
100,100,0.0099886
300,300,0.002727
308,292,0.0069444
70,70,0.010781
180,180,0.0056443
100,100,0.010115
300,300,0.0055809
206,213,0.010337
70,70,0.00015855
180,180,0.0014587
100,100,0.0015855
300,300,0.0027905
33,327,0.012335
70,70,0.013794
180,180,0.00082445
100,100,0.0059614
300,300,0.0092275
254,284,0.012272
70,70,0.0030441
180,180,0.0042808
100,100,0.00072933
300,300,0.015538
292,224,0.0088153
70,70,0.011542
180,180,0.013477
100,100,0.0032978
300,300,0.0057395
213,25,0.0074835
70,70,0.011986
180,180,0.0055175
100,100,0.015538
300,300,0.0097032
327,165,0.0075469
70,70,0.0093861
180,180,0.011067
100,100,0.0060883
300,300,0.0094178
284,88,0.0097983
70,70,0.0018392
180,180,0.0063737
100,100,0.011955
300,300,0.013952
224,256,0.00057078
70,70,0.0081811
180,180,0.014238
100,100,0.0066908
300,300,0.013921
25,279,0.010972
70,70,0.0086885
180,180,0.014967
100,100,0.011003
300,300,0.013128
165,366,0.0077055
70,70,0.011194
180,180,0.010623
100,100,0.0068176
300,300,0.0056443
88,203,0.0076738
70,70,0.012589
180,180,0.015094
100,100,0.011733
300,300,0.0077055
256,268,0.003171
70,70,0.015126
180,180,0.0033295
100,100,0.0024099
300,300,0.0089422
279,118,0.014587
70,70,0.0031076
180,180,0.011701
100,100,0.0035515
300,300,0.001744
366,397,0.0083714
70,70,0.0090056
180,180,0.0069127
100,100,0.0032344
300,300,0.0052321
203,127,0.010147
70,70,0.0087202
180,180,0.011669
100,100,0.010179
300,300,0.0027588
268,142,0.013825
70,70,0.0012367
180,180,0.0021246
100,100,0.0012684
300,300,0.0053272
118,141,0.0065005
70,70,0.0064054
180,180,0.013635
100,100,0.00079274
300,300,0.00079274
397,373,0.013255
70,70,0.0030124
180,180,0.0052955
100,100,0.01335
300,300,0.0013635
127,231,0.0049467
70,70,0.0025685
180,180,0.011764
100,100,0.0078006
300,300,0.01373
142,289,0.0072933
70,70,0.0078006
180,180,0.011669
100,100,0.0041857
300,300,0.00034881
141,396,0.014079
70,70,0.0021563
180,180,0.015157
100,100,0.015221
300,300,0.0056761
373,242,0.012969
70,70,0.015506
180,180,0.0052004
100,100,0.00038052
300,300,0.0097349
231,166,0.0025685
70,70,0.0086568
180,180,0.0023782
100,100,0.0050101
300,300,0.0026002
289,23,0.0062785
70,70,0.0086568
180,180,0.0013952
100,100,0.0044394
300,300,0.014016
396,285,0.0077372
70,70,0.0052004
180,180,0.014999
100,100,0.010115
300,300,0.014555
242,218,0.011542
70,70,0.014999
180,180,0.010369
100,100,0.0077055
300,300,0.0086251
166,48,0.0028222
70,70,0.0054858
180,180,0.014174
100,100,0.014016
300,300,0.0055175
23,380,0.0083714
70,70,0.0039954
180,180,0.0049467
100,100,0.0099569
300,300,0.0068493
285,90,0.012842
70,70,0.005898
180,180,0.00012684
100,100,0.015157
300,300,0.0051687
218,278,0.0006342
70,70,0.0032344
180,180,0.001205
100,100,0.0064054
300,300,0.010528
48,78,0.010781
70,70,0.012938
180,180,0.014016
100,100,0.0040589
300,300,0.0017757
380,118,0.0040589
70,70,0.0032978
180,180,0.011162
100,100,0.001744
300,300,0.014587
90,128,0.014713
70,70,0.010686
180,180,0.0040906
100,100,0.0015855
300,300,0.0064371
278,166,0.0013635
70,70,0.0032661
180,180,0.014808
100,100,0.014333
300,300,0.014079
78,113,0.0044077
70,70,0.013223
180,180,0.0011416
100,100,0.011352
300,300,0.0033929
118,140,0.011733
70,70,0.00041223
180,180,0.011542
100,100,0.0084031
300,300,0.014523
128,51,0.014745
70,70,0.013382
180,180,0.0072615
100,100,0.0081177
300,300,0.014523
166,332,0.0071981
70,70,0.013508
180,180,0.001205
100,100,0.0006342
300,300,0.0029173
113,393,0.0052638
70,70,0.0019343
180,180,3.17E-05
100,100,0.0026319
300,300,0.011701
140,98,0.00069762
70,70,0.0095764
180,180,0.011162
100,100,0.0040906
300,300,0.0079909
51,144,0.0049467
70,70,0.0082445
180,180,0.012906
100,100,0.003171
300,300,0.0071664
332,68,0.0053907
70,70,0.014301
180,180,0.014967
100,100,0.015062
300,300,0.0065322
393,361,0.00088787
70,70,0.0092593
180,180,0.012557
100,100,0.0097349
300,300,0.0078323
98,191,0.009069
70,70,0.0082763
180,180,0.0023148
100,100,0.01484
300,300,0.003171
144,125,0.012652
70,70,0.011447
180,180,0.015443
100,100,0.015157
300,300,0.0037418
68,80,0.0095446
70,70,0.008847
180,180,0.012969
100,100,0.009069
300,300,0.00053907
361,243,0.0079274
70,70,0.013762
180,180,0.0030441
100,100,0.0039954
300,300,0.012462
191,201,0.0024417
70,70,0.002727
180,180,0.00015855
100,100,0.013286
300,300,0.0077689
125,278,0.00983
70,70,0.0076738
180,180,0.011194
100,100,0.0087836
300,300,0.0015855
80,315,0.015443
70,70,0.0012367
180,180,0.00082445
100,100,0.015538
300,300,0.0047882
243,188,0.011162
70,70,0.010084
180,180,0.0076421
100,100,0.0066273
300,300,0.015094
201,236,0.0006342
70,70,0.0074201
180,180,0.0094812
100,100,0.013318
300,300,0.013762
278,169,0.014555
70,70,0.015126
180,180,0.0089739
100,100,0.014587
300,300,0.011416
315,332,0.0038052
70,70,0.005898
180,180,0.0035832
100,100,0.0062151
300,300,0.014682
188,287,0.011923
70,70,0.011637
180,180,0.0083714
100,100,0.0039003
300,300,0.0078006
236,332,0.0052955
70,70,0.0044077
180,180,0.011416
100,100,0.014491
300,300,0.01243
169,390,0.00012684
70,70,0.0087836
180,180,0.0061517
100,100,0.013413
300,300,0.013921
332,84,0.0077372
70,70,0.0070396
180,180,0.013318
100,100,0.015696
300,300,0.0016489
287,222,0.0066273
70,70,0.01075
180,180,0.0039003
100,100,0.0061834
300,300,0.0089105
332,37,0.0065322
70,70,0.0052321
180,180,0.015411
100,100,0.00044394
300,300,0.013064
390,321,0.01262
70,70,0.0040589
180,180,0.012494
100,100,0.0077689
300,300,0.015696
84,308,0.014777
70,70,0.00041223
180,180,0.0019026
100,100,0.0061517
300,300,0.002727
222,23,0.0030124
70,70,0.0082128
180,180,0.012779
100,100,0.0021563
300,300,0.0088153
37,353,0.0023465
70,70,0.010179
180,180,0.0098617
100,100,0.0076738
300,300,0.0010147
321,241,0.0064688
70,70,0.013984
180,180,0.0057078
100,100,0.011542
300,300,0.0028856
308,45,0.00088787
70,70,0.0097032
180,180,0.0084665
100,100,0.0093861
300,300,0.01224
23,107,0.012716
70,70,0.0030758
180,180,0.0098617
100,100,0.0035198
300,300,0.0036466
