,Source_Location_X,,Source_Location_Y,,Source_Emission_rate
2,100,2,100,-2.124059457,0.0075152
2.477121255,300,2.477121255,300,-2.078849572,0.0083397
2.292256071,196,2.326335861,212,-1.977654124,0.010528
1.84509804,70,1.84509804,70,-2.104356495,0.007864
2.255272505,180,2.255272505,180,-2.758453519,0.001744
2,100,2,100,-1.799833754,0.015855
2.477121255,300,2.477121255,300,-1.93771893,0.011542
2.311753861,205,2.127104798,134,-1.853375911,0.014016
1.84509804,70,1.84509804,70,-2.381533508,0.004154
2.255272505,180,2.255272505,180,-1.94248604,0.011416
2,100,2,100,-2.358922687,0.004376
2.477121255,300,2.477121255,300,-2.075560468,0.0084031
2.547774705,353,2.600972896,399,-2.666290817,0.0021563
1.84509804,70,1.84509804,70,-2.253295759,0.0055809
2.255272505,180,2.255272505,180,-2.346517343,0.0045028
2,100,2,100,-1.895649481,0.012716
2.477121255,300,2.477121255,300,-2.061055195,0.0086885
2.227886705,169,1.681241237,48,-1.943705113,0.011384
1.84509804,70,1.84509804,70,-2.050097925,0.0089105
2.255272505,180,2.255272505,180,-1.815762971,0.015284
2,100,2,100,-3.595713771,0.00025368
2.477121255,300,2.477121255,300,-1.851428191,0.014079
2.326335861,212,2.480006943,302,-1.870406772,0.013477
1.84509804,70,1.84509804,70,-2.302910212,0.0049784
2.255272505,180,2.255272505,180,-1.801590366,0.015791
2,100,2,100,-1.835112042,0.014618
2.477121255,300,2.477121255,300,-2.092266263,0.008086
2.127104798,134,2.230448921,170,-2.050097925,0.0089105
1.84509804,70,1.84509804,70,-1.853375911,0.014016
2.255272505,180,2.255272505,180,-1.963530801,0.010876
2,100,2,100,-2.093972198,0.0080543
2.477121255,300,2.477121255,300,-2.004650042,0.0098935
2.600972896,399,2.44870632,281,-2.653705718,0.0022197
1.84509804,70,1.84509804,70,-2.222341229,0.0059932
2.255272505,180,2.255272505,180,-2.1314496,0.0073884
2,100,2,100,-1.921325727,0.011986
2.477121255,300,2.477121255,300,-1.913355479,0.012208
1.681241237,48,2.152288344,142,-2.679272273,0.0020928
1.84509804,70,1.84509804,70,-1.830413727,0.014777
2.255272505,180,2.255272505,180,-1.884955605,0.013033
2,100,2,100,-2.174521952,0.0066908
2.477121255,300,2.477121255,300,-4.197910742,6.34E-05
2.480006943,302,1.924279286,84,-2.289290434,0.005137
1.84509804,70,1.84509804,70,-1.852416418,0.014047
2.255272505,180,2.255272505,180,-2.220050157,0.0060249
2,100,2,100,-1.895649481,0.012716
2.477121255,300,2.477121255,300,-2.855363532,0.0013952
2.230448921,170,2.079181246,120,-2.097404304,0.0079909
1.84509804,70,1.84509804,70,-2.641475066,0.0022831
2.255272505,180,2.255272505,180,-3.100869228,0.00079274
2,100,2,100,-2.322712499,0.0047565
2.477121255,300,2.477121255,300,-2.706416487,0.001966
2.44870632,281,2.480006943,302,-1.901114106,0.012557
1.84509804,70,1.84509804,70,-1.836034017,0.014587
2.255272505,180,2.255272505,180,-1.805957672,0.015633
2,100,2,100,-2.187053237,0.0065005
2.477121255,300,2.477121255,300,-2.013085017,0.0097032
2.152288344,142,1.792391689,62,-2.549412212,0.0028222
1.84509804,70,1.84509804,70,-1.851428191,0.014079
2.255272505,180,2.255272505,180,-1.846551011,0.014238
2,100,2,100,-2.106110686,0.0078323
2.477121255,300,2.477121255,300,-2.481775686,0.0032978
1.924279286,84,2.557507202,361,-1.856329567,0.013921
1.84509804,70,1.84509804,70,-2.281323964,0.0052321
2.255272505,180,2.255272505,180,-2.26076003,0.0054858
2,100,2,100,-1.895649481,0.012716
2.477121255,300,2.477121255,300,-2.381533508,0.004154
2.079181246,120,2.255272505,180,-2.048555621,0.0089422
1.84509804,70,1.84509804,70,-2.023136692,0.0094812
2.255272505,180,2.255272505,180,-2.023136692,0.0094812
2,100,2,100,-1.806847563,0.015601
2.477121255,300,2.477121255,300,-1.889208339,0.012906
2.480006943,302,1.968482949,93,-1.958488887,0.011003
1.84509804,70,1.84509804,70,-1.852416418,0.014047
2.255272505,180,2.255272505,180,-2.727949425,0.0018709
2,100,2,100,-3.021687069,0.00095129
2.477121255,300,2.477121255,300,-1.831355223,0.014745
1.792391689,62,1.944482672,88,-1.925951931,0.011859
1.84509804,70,1.84509804,70,-2.355787972,0.0044077
2.255272505,180,2.255272505,180,-2.521087361,0.0030124
2,100,2,100,-1.905528871,0.01243
2.477121255,300,2.477121255,300,-2.549412212,0.0028222
2.557507202,361,2.389166084,245,-2.090567003,0.0081177
1.84509804,70,1.84509804,70,-1.915602481,0.012145
2.255272505,180,2.255272505,180,-2.595713771,0.0025368
2,100,2,100,-3.653705718,0.00022197
2.477121255,300,2.477121255,300,-1.975063032,0.010591
2.255272505,180,1.568201724,37,-1.813071903,0.015379
1.84509804,70,1.84509804,70,-1.917897116,0.012081
2.255272505,180,2.255272505,180,-1.968591536,0.01075
2,100,2,100,-1.972487308,0.010654
2.477121255,300,2.477121255,300,-2.461376004,0.0034564
1.968482949,93,2.257678575,181,-1.856329567,0.013921
1.84509804,70,1.84509804,70,-2.12773881,0.0074518
2.255272505,180,2.255272505,180,-1.905528871,0.01243
2,100,2,100,-2.930590929,0.0011733
2.477121255,300,2.477121255,300,-3.137075922,0.00072933
1.944482672,88,2.557507202,361,-2.584993246,0.0026002
1.84509804,70,1.84509804,70,-1.984263126,0.010369
2.255272505,180,2.255272505,180,-2.087188299,0.0081811
2,100,2,100,-1.834162375,0.01465
2.477121255,300,2.477121255,300,-1.826697158,0.014904
2.389166084,245,2.536558443,344,-1.92245042,0.011955
1.84509804,70,1.84509804,70,-2.352675722,0.0044394
2.255272505,180,2.255272505,180,-2.302910212,0.0049784
2,100,2,100,-1.880744111,0.01316
2.477121255,300,2.477121255,300,-2.013085017,0.0097032
1.568201724,37,2.541579244,348,-1.99366234,0.010147
1.84509804,70,1.84509804,70,-2.233988912,0.0058346
2.255272505,180,2.255272505,180,-2.314115013,0.0048516
2,100,2,100,-3.384860406,0.00041223
2.477121255,300,2.477121255,300,-2.26076003,0.0054858
2.257678575,181,2.481442629,303,-1.81216918,0.015411
1.84509804,70,1.84509804,70,-3.051650618,0.00088787
2.255272505,180,2.255272505,180,-1.807711387,0.01557
2,100,2,100,-2.146624283,0.0071347
2.477121255,300,2.477121255,300,-2.41601952,0.0038369
2.557507202,361,2.519827994,331,-1.909988976,0.012303
1.84509804,70,1.84509804,70,-2.401899223,0.0039637
2.255272505,180,2.255272505,180,-2.023136692,0.0094812
2,100,2,100,-2.047018774,0.0089739
2.477121255,300,2.477121255,300,-1.823937695,0.014999
2.536558443,344,1.672097858,47,-2.100869228,0.0079274
1.84509804,70,1.84509804,70,-2.653705718,0.0022197
2.255272505,180,2.255272505,180,-2.980302269,0.0010464
2,100,2,100,-1.848507572,0.014174
2.477121255,300,2.477121255,300,-1.938886946,0.011511
2.541579244,348,2.595496222,394,-1.929444984,0.011764
1.84509804,70,1.84509804,70,-2.297405772,0.0050419
2.255272505,180,2.255272505,180,-2.142782124,0.0071981
2,100,2,100,-1.986909862,0.010306
2.477121255,300,2.477121255,300,-2.564314862,0.002727
2.481442629,303,2.404833717,254,-2.281323964,0.0052321
1.84509804,70,1.84509804,70,-2.319827718,0.0047882
2.255272505,180,2.255272505,180,-2.817556814,0.0015221
2,100,2,100,-2.774535641,0.0016806
2.477121255,300,2.477121255,300,-1.992294886,0.010179
2.519827994,331,2.225309282,168,-2.111416177,0.0077372
1.84509804,70,1.84509804,70,-2.065834972,0.0085934
2.255272505,180,2.255272505,180,-1.875560989,0.013318
2,100,2,100,-1.830413727,0.014777
2.477121255,300,2.477121255,300,-2.865344858,0.0013635
1.672097858,47,2.198657087,158,-1.878670002,0.013223
1.84509804,70,1.84509804,70,-2.481775686,0.0032978
2.255272505,180,2.255272505,180,-2.314115013,0.0048516
2,100,2,100,-1.934158966,0.011637
2.477121255,300,2.477121255,300,-3.137075922,0.00072933
2.595496222,394,2.372912003,236,-2.294683775,0.0050736
1.84509804,70,1.84509804,70,-2.808604883,0.0015538
2.255272505,180,2.255272505,180,-1.848507572,0.014174
2,100,2,100,-2.27870062,0.0052638
2.477121255,300,2.477121255,300,-1.914459694,0.012177
2.404833717,254,2.267171728,185,-2.036410483,0.0091958
1.84509804,70,1.84509804,70,-1.849458459,0.014143
2.255272505,180,2.255272505,180,-1.967340954,0.010781
2,100,2,100,-2.291978733,0.0051053
2.477121255,300,2.477121255,300,-2.791236267,0.0016172
2.225309282,168,2.5774918,378,-1.995034113,0.010115
1.84509804,70,1.84509804,70,-1.959714201,0.010972
2.255272505,180,2.255272505,180,-1.953504836,0.01113
2,100,2,100,-2.265808449,0.0054224
2.477121255,300,2.477121255,300,-1.824865241,0.014967
2.198657087,158,2.334453751,216,-2.595713771,0.0025368
1.84509804,70,1.84509804,70,-2.133316954,0.0073567
2.255272505,180,2.255272505,180,-2.438111872,0.0036466
2,100,2,100,-2.50316718,0.0031393
2.477121255,300,2.477121255,300,-1.925951931,0.011859
2.372912003,236,2.361727836,230,-2.445728951,0.0035832
1.84509804,70,1.84509804,70,-2.090567003,0.0081177
2.255272505,180,2.255272505,180,-3.243531253,0.00057078
2,100,2,100,-2.584993246,0.0026002
2.477121255,300,2.477121255,300,-2.32561657,0.0047248
2.267171728,185,2.436162647,273,-1.832298765,0.014713
1.84509804,70,1.84509804,70,-2.685900937,0.0020611
2.255272505,180,2.255272505,180,-1.805069601,0.015665
2,100,2,100,-1.815762971,0.015284
2.477121255,300,2.477121255,300,-1.912218582,0.01224
2.5774918,378,2.301029996,200,-2.412446173,0.0038686
1.84509804,70,1.84509804,70,-2.168392545,0.0067859
2.255272505,180,2.255272505,180,-2.95475528,0.0011098
2,100,2,100,-1.94981365,0.011225
2.477121255,300,2.477121255,300,-2.46942894,0.0033929
2.334453751,216,1.995635195,99,-2.735371042,0.0018392
1.84509804,70,1.84509804,70,-2.033421845,0.0092593
2.255272505,180,2.255272505,180,-1.914459694,0.012177
2,100,2,100,-1.799833754,0.015855
2.477121255,300,2.477121255,300,-1.946153573,0.01132
2.361727836,230,2.390935107,246,-1.828566099,0.01484
1.84509804,70,1.84509804,70,-1.966053797,0.010813
2.255272505,180,2.255272505,180,-1.845606462,0.014269
2,100,2,100,-2.125895237,0.0074835
2.477121255,300,2.477121255,300,-2.1314496,0.0073884
2.436162647,273,2.28780173,194,-2.014506164,0.0096715
1.84509804,70,1.84509804,70,-2.148558185,0.007103
2.255272505,180,2.255272505,180,-2.045487347,0.0090056
2,100,2,100,-2.135192371,0.007325
2.477121255,300,2.477121255,300,-2.070673052,0.0084982
2.301029996,200,1.531478917,34,-2.067445066,0.0085616
1.84509804,70,1.84509804,70,-1.894592014,0.012747
2.255272505,180,2.255272505,180,-1.972487308,0.010654
2,100,2,100,-1.941308317,0.011447
2.477121255,300,2.477121255,300,-2.03791018,0.0091641
1.995635195,99,2.103803721,127,-2.250835908,0.0056126
1.84509804,70,1.84509804,70,-2.026050537,0.0094178
2.255272505,180,2.255272505,180,-1.844633593,0.014301
2,100,2,100,-2.213248578,0.00612
2.477121255,300,2.477121255,300,-1.925951931,0.011859
2.390935107,246,1.986771734,97,-1.929444984,0.011764
1.84509804,70,1.84509804,70,-1.837943663,0.014523
2.255272505,180,2.255272505,180,-2.1314496,0.0073884
2,100,2,100,-1.907735639,0.012367
2.477121255,300,2.477121255,300,-1.834162375,0.01465
2.28780173,194,2.336459734,217,-2.229295232,0.005898
1.84509804,70,1.84509804,70,-1.81216918,0.015411
2.255272505,180,2.255272505,180,-2.473505645,0.0033612
2,100,2,100,-2.033421845,0.0092593
2.477121255,300,2.477121255,300,-2.06905606,0.0085299
1.531478917,34,2.243038049,175,-3.243531253,0.00057078
1.84509804,70,1.84509804,70,-1.827630623,0.014872
2.255272505,180,2.255272505,180,-3.653705718,0.00022197
2,100,2,100,-1.943705113,0.011384
2.477121255,300,2.477121255,300,-2.349585617,0.0044711
2.103803721,127,1.86332286,73,-2.258257658,0.0055175
1.84509804,70,1.84509804,70,-2.166368483,0.0068176
2.255272505,180,2.255272505,180,-2.059473554,0.0087202
2,100,2,100,-2.083835678,0.0082445
2.477121255,300,2.477121255,300,-2.419622512,0.0038052
1.986771734,97,2.485721426,306,-1.83698779,0.014555
1.84509804,70,1.84509804,70,-1.8033265,0.015728
2.255272505,180,2.255272505,180,-2.033421845,0.0092593
2,100,2,100,-2.930590929,0.0011733
2.477121255,300,2.477121255,300,-1.838901644,0.014491
2.336459734,217,2.492760389,311,-2.606705644,0.0024734
1.84509804,70,1.84509804,70,-2.067445066,0.0085616
2.255272505,180,2.255272505,180,-2.273500998,0.0053272
2,100,2,100,-1.889208339,0.012906
2.477121255,300,2.477121255,300,-1.960982678,0.01094
2.243038049,175,1.982271233,96,-2.217771108,0.0060566
1.84509804,70,1.84509804,70,-1.943705113,0.011384
2.255272505,180,2.255272505,180,-2.896743767,0.0012684
2,100,2,100,-1.816673203,0.015252
2.477121255,300,2.477121255,300,-2.311286595,0.0048833
1.86332286,73,2.5774918,378,-1.929444984,0.011764
1.84509804,70,1.84509804,70,-2.706416487,0.001966
2.255272505,180,2.255272505,180,-2.030458291,0.0093227
2,100,2,100,-2.355787972,0.0044077
2.477121255,300,2.477121255,300,-1.873478974,0.013382
2.485721426,306,2.552668216,357,-3.220050157,0.00060249
1.84509804,70,1.84509804,70,-3.156381077,0.00069762
2.255272505,180,2.255272505,180,-1.884955605,0.013033
2,100,2,100,-1.930590929,0.011733
2.477121255,300,2.477121255,300,-2.481775686,0.0032978
2.492760389,311,2.315970345,207,-1.822117357,0.015062
1.84509804,70,1.84509804,70,-2.039415075,0.0091324
2.255272505,180,2.255272505,180,-2.215503956,0.0060883
2,100,2,100,-1.813948209,0.015348
2.477121255,300,2.477121255,300,-2.189176276,0.0064688
1.982271233,96,2.292256071,196,-1.916748283,0.012113
1.84509804,70,1.84509804,70,-2.109640469,0.0077689
2.255272505,180,2.255272505,180,-1.830413727,0.014777
2,100,2,100,-1.931777021,0.011701
2.477121255,300,2.477121255,300,-2.525681732,0.0029807
2.5774918,378,2.274157849,188,-2.395007586,0.0040271
1.84509804,70,1.84509804,70,-3.021687069,0.00095129
2.255272505,180,2.255272505,180,-2.028984063,0.0093544
2,100,2,100,-2.720652508,0.0019026
2.477121255,300,2.477121255,300,-2.070673052,0.0084982
2.552668216,357,2.517195898,329,-2.281323964,0.0052321
1.84509804,70,1.84509804,70,-2.204342398,0.0062468
2.255272505,180,2.255272505,180,-2.401899223,0.0039637
2,100,2,100,-2.236354913,0.0058029
2.477121255,300,2.477121255,300,-1.944927618,0.011352
2.315970345,207,1.716003344,52,-2.224651737,0.0059614
1.84509804,70,1.84509804,70,-1.882861334,0.013096
2.255272505,180,2.255272505,180,-2.180745691,0.0065956
2,100,2,100,-1.935317434,0.011606
2.477121255,300,2.477121255,300,-2.206551879,0.0062151
2.292256071,196,2.041392685,110,-2.006048213,0.0098617
1.84509804,70,1.84509804,70,-2.337440478,0.0045979
2.255272505,180,2.255272505,180,-2.569392889,0.0026953
2,100,2,100,-2.659952682,0.002188
2.477121255,300,2.477121255,300,-2.758453519,0.001744
2.274157849,188,2.456366033,286,-1.814854642,0.015316
1.84509804,70,1.84509804,70,-1.883923828,0.013064
2.255272505,180,2.255272505,180,-2.635486526,0.0023148
2,100,2,100,-1.83321478,0.014682
2.477121255,300,2.477121255,300,-2.106110686,0.0078323
2.517195898,329,2.444044796,278,-2.156381077,0.0069762
1.84509804,70,1.84509804,70,-2.033421845,0.0092593
2.255272505,180,2.255272505,180,-2.204342398,0.0062468
2,100,2,100,-2.623751625,0.0023782
2.477121255,300,2.477121255,300,-2.000495378,0.0099886
1.716003344,52,2.40654018,255,-1.980302269,0.010464
1.84509804,70,1.84509804,70,-1.828566099,0.01484
2.255272505,180,2.255272505,180,-1.88709351,0.012969
2,100,2,100,-2.087188299,0.0081811
2.477121255,300,2.477121255,300,-2.114989524,0.0076738
2.041392685,110,1.897627091,79,-1.957227663,0.011035
1.84509804,70,1.84509804,70,-2.16035229,0.0069127
2.255272505,180,2.255272505,180,-1.808604883,0.015538
2,100,2,100,-1.985605484,0.010337
2.477121255,300,2.477121255,300,-2.097404304,0.0079909
2.456366033,286,2.558708571,362,-2.028984063,0.0093544
1.84509804,70,1.84509804,70,-2.176584463,0.0066591
2.255272505,180,2.255272505,180,-2.365270892,0.0043125
2,100,2,100,-2.040925202,0.0091007
2.477121255,300,2.477121255,300,-2.253295759,0.0055809
2.444044796,278,2.23299611,171,-1.931777021,0.011701
1.84509804,70,1.84509804,70,-2.120411014,0.0075786
2.255272505,180,2.255272505,180,-1.83321478,0.014682
2,100,2,100,-2.062642616,0.0086568
2.477121255,300,2.477121255,300,-2.189176276,0.0064688
2.40654018,255,1.939519253,87,-2.168392545,0.0067859
1.84509804,70,1.84509804,70,-1.825794773,0.014935
2.255272505,180,2.255272505,180,-2.395007586,0.0040271
2,100,2,100,-1.801590366,0.015791
2.477121255,300,2.477121255,300,-1.923614456,0.011923
1.897627091,79,2.350248018,224,-2.265808449,0.0054224
1.84509804,70,1.84509804,70,-2.06905606,0.0085299
2.255272505,180,2.255272505,180,-1.827630623,0.014872
2,100,2,100,-2.331492945,0.0046613
2.477121255,300,2.477121255,300,-1.919012953,0.01205
2.558708571,362,2.600972896,399,-2.174521952,0.0066908
1.84509804,70,1.84509804,70,-2.172469189,0.0067225
2.255272505,180,2.255272505,180,-1.959714201,0.010972
2,100,2,100,-2.208772658,0.0061834
2.477121255,300,2.477121255,300,-2.574530994,0.0026636
2.23299611,171,2.58546073,385,-1.962254871,0.010908
1.84509804,70,1.84509804,70,-1.963530801,0.010876
2.255272505,180,2.255272505,180,-1.824865241,0.014967
