Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor4_Log,Receptor_measurement5,Wind_speed,Wind_speed_reci,Source_Location_X,Source_Location_Y,Source_Emission_rate
0.003139,-5.006417369,0.0014651,-5.668265463,0.027118,0.00091992,-6.07E+00,7.48E-06,14,0.071428571,100,100,0.012208
3.67E-20,-38.87066787,0.00010277,-7.976267287,0,0.0015305,-5.63E+00,0.010264,5,0.2,300,300,0.0061517
1.93E-06,-11.42888538,0.00021767,-7.324402845,1.10E-09,0.00052184,-6.56E+00,0.00071338,17,0.058823529,55,250,0.014491
0.0034113,-4.934160171,0.0010672,-5.943508367,0.007265,0.0005716,-6.49E+00,1.98E-06,18,0.055555556,70,70,0.015221
1.39E-05,-9.713970399,0.00034018,-6.936582446,2.73E-12,0.00043764,-6.72E+00,4.37E-05,10,0.1,180,180,0.0024734
0.042448,-2.744285535,0.019812,-3.406143361,0.36671,0.01244,-3.81E+00,0.0001012,4,0.25,100,100,0.013477
1.40E-18,-35.70774393,0.003907,-4.816313178,0,0.058181,-2.47E+00,0.39018,1,1,300,300,0.0093544
1.96E-13,-25.41548786,4.36E-06,-10.72102702,2.07E-59,4.66E-05,-8.66E+00,0.00043503,12,0.083333333,161,328,0.0015855
0.016054,-3.588833483,0.0050225,-4.598160109,0.034191,0.0026901,-5.14E+00,9.31E-06,6,0.166666667,70,70,0.0079592
1.90E-05,-9.442492798,0.00046641,-6.662464293,3.74E-12,0.00060003,-6.44E+00,6.00E-05,12,0.083333333,180,180,0.0048833
0.0038033,-4.839678833,0.0017751,-5.501554352,0.032858,0.0011146,-5.91E+00,9.07E-06,10,0.1,100,100,0.0075469
8.28E-20,-38.16393933,0.00023177,-7.269885558,0,0.0034514,-4.92E+00,0.023146,4,0.25,300,300,0.0088787
0.043728,-2.718480771,0.0047739,-4.642253365,0,0.0017441,-5.52E+00,2.00E-09,4,0.25,323,49,0.002188
0.82433,-0.167797789,0.25789,-1.177130996,1.7556,0.13813,-1.72E+00,0.00047795,1,1,70,70,0.011352
9.71E-06,-10.02556154,0.00023789,-7.247247627,1.91E-12,0.00030604,-7.03E+00,3.06E-05,11,0.090909091,180,180,0.0020928
0.0016358,-5.572539592,0.00076351,-6.234370541,0.014132,0.00047941,-6.64E+00,3.90E-06,13,0.076923077,100,100,0.0054858
6.86E-20,-38.32735177,0.00019204,-7.433216605,0,0.0028598,-5.09E+00,0.019178,4,0.25,300,300,0.0073567
3.14E-18,-35.0061407,2.12E-05,-9.347328278,0,0.0005793,-6.47E+00,0.011532,8,0.125,222,354,0.015126
0.057853,-2.475348231,0.018099,-3.48469084,0.12321,0.0096939,-4.03E+00,3.35E-05,4,0.25,70,70,0.012747
6.10E-06,-10.42934033,0.00014937,-7.651473238,1.20E-12,0.00019217,-7.43E+00,1.92E-05,20,0.05,180,180,0.0043442
0.0025049,-5.202419214,0.0011691,-5.864296679,0.02164,0.00073408,-6.27E+00,5.97E-06,17,0.058823529,100,100,0.014365
1.74E-20,-39.5189015,4.87E-05,-8.624942078,0,0.0007245,-6.28E+00,0.0048587,7,0.142857143,300,300,0.0057078
0.0079698,-4.197105154,0.0022525,-5.294670401,2.97E-43,0.0011244,-5.90E+00,2.33E-07,10,0.1,250,82,0.0069444
0.00023386,-7.262088109,7.32E-05,-8.270977838,0.00049805,3.92E-05,-8.81E+00,1.36E-07,16,0.0625,70,70,0.00082445
0.00011015,-7.916030997,0.0026985,-5.137755155,2.17E-11,0.0034716,-4.92E+00,0.00034703,8,0.125,180,180,0.012557
0.0030587,-5.028926234,0.0014276,-5.690786921,0.026425,0.0008964,-6.09E+00,7.29E-06,16,0.0625,100,100,0.015538
2.05E-19,-37.37649228,0.00057538,-6.480090476,0,0.0085683,-4.13E+00,0.057462,3,0.333333333,300,300,0.012399
7.03E-26,-50.30608935,1.77E-05,-9.504053467,0,0.00034683,-6.92E+00,0.0026757,14,0.071428571,328,302,0.011511
0.01271,-3.791708899,0.0039764,-4.80101987,0.027069,0.0021298,-5.34E+00,7.37E-06,5,0.2,70,70,0.004376
1.10E-05,-9.91721463,0.0002704,-7.135986625,2.17E-12,0.00034786,-6.92E+00,3.48E-05,20,0.05,180,180,0.007864
0.0063921,-4.388712879,0.0029834,-5.050577029,0.055223,0.0018733,-5.45E+00,1.52E-05,11,0.090909091,100,100,0.015348
5.20E-22,-42.56799331,1.46E-06,-11.67129429,0,2.17E-05,-9.33E+00,0.00014549,10,0.1,300,300,0.00034881
2.72E-12,-23.13086219,1.43E-05,-9.689327925,1.29E-28,0.00025746,-7.18E+00,0.0048082,9,0.111111111,49,397,0.014555
0.00073574,-6.266551264,0.00023017,-7.275902565,0.0015669,0.00012328,-7.82E+00,4.27E-07,13,0.076923077,70,70,0.0017123
0.00023786,-7.247357171,0.0058271,-4.469095058,4.68E-11,0.0074965,-4.25E+00,0.00074936,6,0.166666667,180,180,0.015252
0.1646,-1.567140338,0.076824,-2.229006168,1.422,0.048237,-2.63E+00,0.00039243,2,0.5,100,100,0.013064
2.09E-21,-41.35970743,5.86E-06,-10.46420477,0,8.73E-05,-8.12E+00,0.00058527,20,0.05,300,300,0.0056126
4.64E-44,-86.66696404,7.04E-06,-10.30485468,0,0.00070328,-6.31E+00,0.0254,5,0.2,354,349,0.0085616
0.0099623,-4.003280769,0.0031167,-5.012609998,0.021217,0.0016693,-5.55E+00,5.78E-06,7,0.142857143,70,70,0.0067225
1.65E-05,-9.565032112,0.00040443,-6.786313273,3.25E-12,0.0005203,-6.57E+00,5.20E-05,17,0.058823529,180,180,0.0084982
0.025952,-3.171658335,0.012113,-3.833496566,0.2242,0.0076055,-4.24E+00,6.19E-05,5,0.2,100,100,0.012874
6.76E-21,-40.34010661,1.89E-05,-9.447076392,0,0.00028198,-7.10E+00,0.0018911,11,0.090909091,300,300,0.0054858
2.34E-05,-9.261568285,0.0016253,-5.578132929,1.27E-08,0.0032952,-4.96E+00,0.002685,7,0.142857143,82,231,0.013191
0.23256,-1.266929962,0.072756,-2.276262371,0.49529,0.038969,-2.82E+00,0.00013484,1,1,70,70,0.0032027
1.48E-05,-9.659476569,0.00036344,-6.879134552,2.92E-12,0.00046756,-6.66E+00,4.67E-05,12,0.083333333,180,180,0.0038052
0.0043049,-4.732073865,0.0020093,-5.393910432,0.037191,0.0012616,-5.80E+00,1.03E-05,7,0.142857143,100,100,0.0041857
1.31E-20,-39.76545741,3.68E-05,-8.868304363,0,0.00054766,-6.52E+00,0.0036728,11,0.090909091,300,300,0.010654
3.70E-09,-16.86359655,6.40E-05,-8.387640052,0,0.0001057,-7.95E+00,4.75E-06,20,0.05,302,187,0.0020294
0.0056286,-4.499199227,0.0017609,-5.508530613,0.011987,0.00094313,-6.05E+00,3.26E-06,6,0.166666667,70,70,0.0027905
2.22E-05,-9.307294051,0.00054273,-6.530832343,4.36E-12,0.00069822,-6.31E+00,6.98E-05,15,0.066666667,180,180,0.0088787
0.027166,-3.131948607,0.01268,-3.793761493,0.2347,0.0079615,-4.20E+00,6.48E-05,5,0.2,100,100,0.013477
1.75E-20,-39.5139239,4.90E-05,-8.61960784,0,0.00072973,-6.27E+00,0.0048938,10,0.1,300,300,0.011733
1.74E-92,-183.5189015,2.32E-06,-11.26902403,0,0.0019796,-5.41E+00,0.222,2,0.5,397,388,0.014016
0.16061,-1.588454836,0.050245,-2.597814299,0.34204,0.026911,-3.14E+00,9.31E-05,2,0.5,70,70,0.008847
6.50E-05,-8.374173287,0.0015919,-5.596168435,1.28E-11,0.0020479,-5.38E+00,0.00020471,10,0.1,180,180,0.011574
0.00033177,-6.958325774,0.00015485,-7.620177581,0.0028662,9.72E-05,-8.02E+00,7.91E-07,17,0.058823529,100,100,0.0019026
1.44E-19,-37.68327502,0.00040312,-6.789131309,0,0.006003,-4.44E+00,0.040258,4,0.25,300,300,0.015443
0.00052135,-6.565741244,0.016933,-3.542532183,0,0.012204,-3.83E+00,3.47E-06,5,0.2,349,126,0.012906
0.002648,-5.154164038,0.00082841,-6.163509334,0.0056394,0.0004437,-6.71E+00,1.54E-06,20,0.05,70,70,0.014587
2.72E-05,-9.130862192,0.00066727,-6.351396801,5.36E-12,0.00085844,-6.13E+00,8.58E-05,10,0.1,180,180,0.0048516
0.0022258,-5.305027724,0.0010389,-5.966852507,0.019229,0.00065231,-6.37E+00,5.31E-06,14,0.071428571,100,100,0.0086568
8.09E-21,-40.18410296,2.26E-05,-9.291783122,0,0.00033725,-6.94E+00,0.0022617,10,0.1,300,300,0.0054224
0.00052582,-6.558325798,0.00012816,-7.784495003,1.53E-08,6.20E-05,-8.42E+00,1.35E-08,10,0.1,231,75,0.00041223
0.14622,-1.669986441,0.045743,-2.679350712,0.3114,0.0245,-3.22E+00,8.48E-05,2,0.5,70,70,0.0080543
2.09E-05,-9.359707428,0.00051285,-6.58001928,4.12E-12,0.00065978,-6.36E+00,6.60E-05,18,0.055555556,180,180,0.012081
0.12664,-1.794858196,0.059109,-2.456692776,1.0941,0.037115,-2.86E+00,0.00030194,2,0.5,100,100,0.010052
8.54E-21,-40.13708426,2.39E-05,-9.243204198,0,0.00035594,-6.90E+00,0.002387,13,0.076923077,300,300,0.0096715
6.22E-09,-16.41241923,0.00052347,-6.562216405,1.11E-51,0.0021772,-5.32E+00,0.0042938,3,0.333333333,187,265,0.001966
0.0028603,-5.087176828,0.00089484,-6.096509222,0.0060916,0.00047928,-6.64E+00,1.66E-06,17,0.058823529,70,70,0.011384
3.05E-05,-9.031400321,0.00074841,-6.251720836,6.01E-12,0.00096283,-6.03E+00,9.62E-05,9,0.111111111,180,180,0.0044077
0.009233,-4.069314329,0.0043094,-4.731166385,0.079766,0.0027059,-5.14E+00,2.20E-05,3,0.333333333,100,100,0.0016489
7.84E-21,-40.21136787,2.20E-05,-9.315154638,0,0.00032703,-6.97E+00,0.0021932,14,0.071428571,300,300,0.010306
4.00E-71,-140.79588,2.12E-07,-13.34732828,0,5.43E-05,-8.53E+00,0.0033323,17,0.058823529,388,361,0.011733
0.20723,-1.367094746,0.064832,-2.376421161,0.44135,0.034724,-2.92E+00,0.00012015,2,0.5,70,70,0.011416
0.00025368,-7.191427542,0.0062148,-4.413145686,4.99E-11,0.0079953,-4.19E+00,0.00079921,2,0.5,180,180,0.0018075
0.0013616,-5.731900915,0.00063553,-6.393727888,0.011763,0.00039904,-6.80E+00,3.25E-06,13,0.076923077,100,100,0.0045662
4.29E-20,-38.73508542,0.00012026,-7.839757601,0,0.0017908,-5.49E+00,0.01201,5,0.2,300,300,0.0071981
0.0067551,-4.340736435,0.072997,-2.273389976,0.00011304,0.09267,-2.07E+00,0.014581,1,1,126,183,0.0057078
0.018186,-3.480525626,0.0056894,-4.489867063,0.03873,0.0030472,-5.03E+00,1.05E-05,7,0.142857143,70,70,0.012272
3.98E-05,-8.800233856,0.00097446,-6.022471967,7.82E-12,0.0012536,-5.80E+00,0.00012531,8,0.125,180,180,0.0045345
0.001946,-5.421714328,0.00090829,-6.083550934,0.016812,0.00057031,-6.49E+00,4.64E-06,15,0.066666667,100,100,0.0086885
2.19E-21,-41.31911177,6.14E-06,-10.42366326,0,9.14E-05,-8.08E+00,0.00061327,17,0.058823529,300,300,0.0042491
0.18448,-1.46810142,0.049275,-2.614746734,0.02897,0.022647,-3.29E+00,1.83E-05,2,0.5,75,38,0.0094812
0.0011633,-5.868616544,0.00036392,-6.877988152,0.0024774,0.00019492,-7.42E+00,6.74E-07,17,0.058823529,70,70,0.0046296
0.00079318,-6.20125649,0.019432,-3.422964996,1.56E-10,0.024999,-3.20E+00,0.0024989,3,0.333333333,180,180,0.012716
0.0018937,-5.445377642,0.00088385,-6.107242867,0.01636,0.00055496,-6.51E+00,4.51E-06,20,0.05,100,100,0.01503
4.54E-21,-40.68588829,1.27E-05,-9.792392558,0,0.00018917,-7.45E+00,0.0012687,7,0.142857143,300,300,0.0014904
3.99E-21,-40.79805421,1.90E-06,-11.4424928,0,4.32E-05,-8.73E+00,0.00060964,18,0.055555556,265,330,0.0037735
0.011052,-3.913118248,0.0034577,-4.92242538,0.023539,0.001852,-5.46E+00,6.41E-06,5,0.2,70,70,0.0038052
2.68E-05,-9.143730412,0.00065709,-6.364750284,5.27E-12,0.00084535,-6.15E+00,8.45E-05,15,0.066666667,180,180,0.01075
0.0042551,-4.742180458,0.001986,-5.404041512,0.036761,0.001247,-5.81E+00,1.01E-05,13,0.076923077,100,100,0.014269
5.56E-21,-40.50985042,1.56E-05,-9.613750803,0,0.00023203,-7.27E+00,0.0015561,17,0.058823529,300,300,0.010781
3.04E-47,-93.03425283,4.19E-06,-10.75557195,0,0.00044801,-6.70E+00,0.016491,5,0.2,361,348,0.0054224
0.0022884,-5.280936122,0.00071591,-6.290283142,0.0048736,0.00038345,-6.83E+00,1.33E-06,18,0.055555556,70,70,0.010211
5.73E-05,-8.483690756,0.0014043,-5.705080208,1.13E-11,0.0018066,-5.49E+00,0.00018059,10,0.1,180,180,0.010211
0.00047541,-6.645863375,0.00022189,-7.30772454,0.0041072,0.00013933,-7.71E+00,1.13E-06,20,0.05,100,100,0.0037735
1.44E-20,-39.68327502,4.03E-05,-8.789389908,0,0.00059982,-6.44E+00,0.0040226,11,0.090909091,300,300,0.011669
5.81E-09,-16.47164774,0.00012288,-7.821037595,1.54E-42,0.00043179,-6.73E+00,0.00062798,9,0.111111111,183,255,0.003171
0.00039943,-6.797118639,0.00012496,-7.806457967,0.00085067,6.69E-05,-8.35E+00,2.32E-07,14,0.071428571,70,70,0.0010781
1.04E-05,-9.965933321,0.00025441,-7.188931644,2.04E-12,0.00032729,-6.97E+00,3.27E-05,12,0.083333333,180,180,0.0026636
0.052202,-2.564625715,0.024365,-3.226467169,0.45099,0.015299,-3.63E+00,0.00012446,3,0.333333333,100,100,0.0093227
4.31E-21,-40.73104546,1.21E-05,-9.834429259,0,0.0001795,-7.49E+00,0.0012038,16,0.0625,300,300,0.0073884
0.0030984,-5.017725032,0.00092751,-6.065362799,0.0030636,0.00047274,-6.65E+00,1.38E-06,10,0.1,38,55,0.0044394
0.0023231,-5.26786419,0.00072676,-6.277217968,0.0049474,0.00038926,-6.82E+00,1.35E-06,15,0.066666667,70,70,0.0071981
1.27E-05,-9.792392558,0.00031152,-7.013028132,2.50E-12,0.00040076,-6.79E+00,4.01E-05,7,0.142857143,180,180,0.0011098
0.0019726,-5.409921942,0.00092067,-6.071792016,0.017041,0.00057808,-6.48E+00,4.70E-06,16,0.0625,100,100,0.01002
1.37E-20,-39.72655887,3.84E-05,-8.831337551,0,0.00057211,-6.49E+00,0.0038368,11,0.090909091,300,300,0.01113
0.38547,-0.828018832,0.05131,-2.579595971,0,0.016635,-3.56E+00,1.85E-09,2,0.5,330,28,0.006881
0.02846,-3.091530209,0.0089036,-4.100868718,0.060612,0.0047688,-4.64E+00,1.65E-05,5,0.2,70,70,0.0097983
3.12E-05,-9.011690812,0.00076322,-6.234700515,6.13E-12,0.00098187,-6.02E+00,9.81E-05,12,0.083333333,180,180,0.0079909
0.018821,-3.450714611,0.0087846,-4.112556018,0.1626,0.0055158,-4.52E+00,4.49E-05,3,0.333333333,100,100,0.0033612
1.68E-20,-39.54938144,4.70E-05,-8.655804284,0,0.00070035,-6.31E+00,0.0046968,7,0.142857143,300,300,0.0055175
0.033438,-2.951519413,0.0030952,-5.018622567,0,0.0010448,-5.96E+00,1.60E-10,8,0.125,348,42,0.0056443
0.039236,-2.812630548,0.012275,-3.821956998,0.083562,0.0065745,-4.36E+00,2.27E-05,5,0.2,70,70,0.013508
0.00013296,-7.752557987,0.0032573,-4.974284481,2.61E-11,0.0041905,-4.76E+00,0.00041888,8,0.125,180,180,0.015157
0.0039951,-4.796944691,0.0018647,-5.458782058,0.034514,0.0011708,-5.86E+00,9.53E-06,8,0.125,100,100,0.0050736
1.25E-20,-39.80617997,3.50E-05,-8.911863911,0,0.00052158,-6.57E+00,0.0034979,11,0.090909091,300,300,0.010147
4.60E-19,-36.67448434,7.59E-06,-10.23951645,0,0.00014528,-7.68E+00,0.0017842,20,0.05,255,326,0.014365
0.034447,-2.92569719,0.010777,-3.935004234,0.073362,0.005772,-4.48E+00,2.00E-05,5,0.2,70,70,0.011859
9.67E-05,-8.029147052,0.0023691,-5.250833215,1.90E-11,0.0030478,-5.03E+00,0.00030466,9,0.111111111,180,180,0.013952
0.0015668,-5.609972874,0.00073129,-6.271820731,0.013536,0.00045918,-6.68E+00,3.74E-06,16,0.0625,100,100,0.0079592
2.91E-21,-41.07221402,8.16E-06,-10.17661968,0,0.00012147,-7.83E+00,0.00081464,17,0.058823529,300,300,0.0056443
0.0001531,-7.630049619,0.00066068,-6.36001768,0.00012737,0.00078314,-6.21E+00,0.00016276,15,0.066666667,55,181,0.011891
0.0095231,-4.04244331,0.0029793,-5.051771527,0.020281,0.0015957,-5.59E+00,5.52E-06,9,0.111111111,70,70,0.010623
2.43E-05,-9.228787453,0.00059411,-6.452266275,4.77E-12,0.00076432,-6.23E+00,7.64E-05,14,0.071428571,180,180,0.0084665
0.0013623,-5.731454487,0.00063585,-6.393290649,0.011769,0.00039924,-6.80E+00,3.25E-06,20,0.05,100,100,0.010813
5.64E-21,-40.49744179,1.58E-05,-9.602685826,0,0.00023497,-7.26E+00,0.0015758,16,0.0625,300,300,0.0096715
7.01E-08,-14.30856396,7.11E-05,-8.296260799,6.91E-13,0.00028646,-7.09E+00,0.0011155,8,0.125,28,299,0.0028539
0.0011037,-5.914297915,0.0003453,-6.923606843,0.0023506,0.00018494,-7.47E+00,6.40E-07,11,0.090909091,70,70,0.0018392
0.00038163,-6.836714985,0.0093494,-4.058432518,7.51E-11,0.012028,-3.84E+00,0.0012023,4,0.25,180,180,0.010876
0.0018657,-5.458316377,0.00087079,-6.120173134,0.016118,0.00054677,-6.52E+00,4.45E-06,20,0.05,100,100,0.014808
2.85E-20,-39.09031028,7.98E-05,-8.195994217,0,0.0011882,-5.85E+00,0.0079686,9,0.111111111,300,300,0.015474
2.39E-07,-13.2432042,0.00040192,-6.791720765,2.70E-13,0.0017106,-5.53E+00,0.0069345,7,0.142857143,42,300,0.01316
0.017011,-3.538540311,0.0053218,-4.547882902,0.036229,0.0028504,-5.09E+00,9.86E-06,7,0.142857143,70,70,0.011479
4.93E-06,-10.61430616,0.00012073,-7.836369599,9.69E-13,0.00015531,-7.62E+00,1.55E-05,17,0.058823529,180,180,0.0025368
0.00011837,-7.853516705,5.52E-05,-8.516121845,0.0010226,3.47E-05,-8.92E+00,2.82E-07,9,0.111111111,100,100,0.00019026
3.86E-22,-42.82682539,1.08E-06,-11.93315249,0,1.61E-05,-9.59E+00,0.00010797,7,0.142857143,300,300,0.00012684
0.0016675,-5.555868315,0.0065556,-4.366775107,0,0.0042294,-4.75E+00,1.12E-06,5,0.2,326,116,0.0048199
0.0095788,-4.037377789,0.0029967,-5.046713464,0.0204,0.001605,-5.59E+00,5.55E-06,10,0.1,70,70,0.013191
0.00073187,-6.271132109,0.01793,-3.492839421,1.44E-10,0.023066,-3.27E+00,0.0023057,3,0.333333333,180,180,0.011733
0.0018679,-5.457292756,0.00087183,-6.119136382,0.016137,0.00054742,-6.52E+00,4.45E-06,15,0.066666667,100,100,0.0083397
7.80E-21,-40.21581079,2.18E-05,-9.323087013,0,0.0003252,-6.98E+00,0.0021809,15,0.066666667,300,300,0.011764
0.00073706,-6.264994314,0.0018033,-5.487864035,0.00023591,0.0015409,-5.62E+00,2.84E-05,6,0.166666667,181,141,0.0030124
0.002625,-5.161741385,0.00082121,-6.171091542,0.0055904,0.00043984,-6.71E+00,1.52E-06,20,0.05,70,70,0.01446
9.26E-06,-10.06677803,0.00022696,-7.288101354,1.82E-12,0.00029199,-7.07E+00,2.92E-05,14,0.071428571,180,180,0.0032344
0.14742,-1.662887186,0.068806,-2.324747378,1.2736,0.043203,-2.73E+00,0.00035147,2,0.5,100,100,0.011701
1.57E-19,-37.6082007,0.00044036,-6.712384274,0,0.0065577,-4.37E+00,0.043978,2,0.5,300,300,0.0042174
2.06E-22,-43.37226556,2.11E-05,-9.351435089,0,0.00042495,-6.74E+00,0.0042779,12,0.083333333,299,313,0.012399
0.0010836,-5.930262007,0.00033899,-6.939626226,0.0023077,0.00018157,-7.48E+00,6.28E-07,17,0.058823529,70,70,0.0043125
1.21E-05,-9.834429259,0.00029613,-7.057035187,2.38E-12,0.00038097,-6.84E+00,3.81E-05,9,0.111111111,180,180,0.001744
0.010599,-3.949470216,0.004947,-4.611316179,0.091568,0.0031062,-5.02E+00,2.53E-05,7,0.142857143,100,100,0.010306
1.25E-19,-37.80617997,0.00035097,-6.909460009,0,0.0052264,-4.56E+00,0.03505,4,0.25,300,300,0.013445
0.00062516,-6.408017635,0.0012107,-5.833926915,0,0.00077369,-6.22E+00,3.67E-07,20,0.05,300,114,0.01484
0.019894,-3.402555773,0.0062239,-4.411874788,0.042369,0.0033335,-4.95E+00,1.15E-05,5,0.2,70,70,0.0068493
0.0062308,-4.410912378,0.15264,-1.632663285,1.23E-09,0.19637,-1.41E+00,0.01963,1,1,180,180,0.011098
0.0041837,-4.75687893,0.0019527,-5.418728947,0.036144,0.0012261,-5.82E+00,9.97E-06,12,0.083333333,100,100,0.011955
9.46E-22,-42.04821773,2.65E-06,-11.15350825,0,3.94E-05,-8.81E+00,0.00026453,5,0.2,300,300,0.00015855
3.31E-05,-8.960344012,0.00061522,-6.421939109,1.53E-07,0.00088759,-6.10E+00,0.00022854,12,0.083333333,116,196,0.0083397
0.0031153,-5.01300025,0.0009746,-6.022347186,0.0066346,0.000522,-6.56E+00,1.81E-06,17,0.058823529,70,70,0.012399
0.00094945,-6.045055802,0.02326,-3.266780579,1.87E-10,0.029924,-3.05E+00,0.0029912,3,0.333333333,180,180,0.015221
0.016291,-3.576104513,0.0076036,-4.237961476,0.14074,0.0047743,-4.64E+00,3.88E-05,6,0.166666667,100,100,0.011637
4.18E-20,-38.75764744,0.00011699,-7.863702518,0,0.0017421,-5.52E+00,0.011683,6,0.166666667,300,300,0.010084
0.0022705,-5.287756988,0.12158,-1.830275722,1.62E-08,0.19982,-1.40E+00,0.062737,1,1,141,205,0.013128
0.00041118,-6.771936036,0.00012864,-7.781247937,0.00087569,6.89E-05,-8.32E+00,2.38E-07,14,0.071428571,70,70,0.0011098
3.54E-05,-8.901993476,0.00086709,-6.123871645,6.96E-12,0.0011155,-5.91E+00,0.00011151,13,0.076923077,180,180,0.010654
0.0012035,-5.839107811,0.0005617,-6.500991152,0.010397,0.00035269,-6.91E+00,2.87E-06,9,0.111111111,100,100,0.0019343
6.47E-22,-42.37819144,1.81E-06,-11.48464285,0,2.70E-05,-9.14E+00,0.00018083,16,0.0625,300,300,0.0011098
3.53E-33,-64.90445059,2.20E-07,-13.31515464,0,1.46E-05,-9.67E+00,0.00045324,6,0.166666667,313,353,0.00025368
0.0061019,-4.429069828,0.001909,-5.438388143,0.012995,0.0010224,-5.98E+00,3.54E-06,10,0.1,70,70,0.0084031
0.00010286,-7.97550696,0.0025198,-5.197267857,2.02E-11,0.0032417,-4.98E+00,0.00032405,3,0.333333333,180,180,0.0016489
0.0013184,-5.759905611,0.00061534,-6.421769706,0.01139,0.00038637,-6.83E+00,3.14E-06,20,0.05,100,100,0.010464
2.42E-21,-41.23236927,6.79E-06,-10.33626045,0,0.00010106,-7.99E+00,0.00067772,11,0.090909091,300,300,0.001966
0.00059604,-6.449449188,0.0027708,-5.114789642,0.00019963,0.0030355,-5.04E+00,0.00031201,4,0.25,114,169,0.002949
0.010362,-3.969112824,0.0032416,-4.978481153,0.022067,0.0017362,-5.52E+00,6.01E-06,8,0.125,70,70,0.0091324
0.00011081,-7.91084209,0.0027146,-5.13258831,2.18E-11,0.0034924,-4.91E+00,0.0003491,7,0.142857143,180,180,0.0096715
0.0026301,-5.160055477,0.0012276,-5.82188624,0.022722,0.00077078,-6.23E+00,6.27E-06,12,0.083333333,100,100,0.0075152
4.30E-21,-40.73306309,1.21E-05,-9.834429259,0,0.00017948,-7.49E+00,0.0012037,17,0.058823529,300,300,0.0083397
1.57E-06,-11.6082007,0.00084574,-6.145526257,9.34E-31,0.0016558,-5.56E+00,0.00052923,10,0.1,196,212,0.010528
0.0015818,-5.601696858,0.00049487,-6.611017746,0.0033689,0.00026506,-7.15E+00,9.17E-07,19,0.052631579,70,70,0.007864
2.00E-05,-9.397940009,0.00048953,-6.620441376,3.93E-12,0.00062977,-6.40E+00,6.30E-05,7,0.142857143,180,180,0.001744
0.088779,-2.103379502,0.041437,-2.765223389,0.76698,0.026018,-3.17E+00,0.00021167,3,0.333333333,100,100,0.015855
5.96E-21,-40.44950748,1.67E-05,-9.554567058,0,0.00024841,-7.21E+00,0.0016659,17,0.058823529,300,300,0.011542
0.001269,-5.793076756,0.0027467,-5.122377545,9.05E-05,0.0021952,-5.32E+00,2.14E-05,11,0.090909091,205,134,0.014016
0.0011783,-5.857488245,0.00036862,-6.86684221,0.0025094,0.00019744,-7.41E+00,6.83E-07,16,0.0625,70,70,0.004154
0.00071209,-6.294930226,0.017445,-3.516658052,1.40E-10,0.022443,-3.30E+00,0.0022434,3,0.333333333,180,180,0.011416
0.055132,-2.517192505,0.025732,-3.179052915,0.4763,0.016157,-3.58E+00,0.00013144,2,0.5,100,100,0.004376
3.13E-19,-37.00891132,0.00087742,-6.113584941,0,0.013066,-3.77E+00,0.087626,2,0.5,300,300,0.0084031
3.79E-60,-118.8427216,1.71E-08,-15.53400778,0,9.00E-06,-1.01E+01,0.0008391,11,0.090909091,353,399,0.0021563
0.0018011,-5.488924348,0.00056348,-6.498242988,0.0038359,0.0003018,-7.04E+00,1.04E-06,15,0.066666667,70,70,0.0055809
6.32E-06,-10.39856584,0.00015482,-7.620345874,1.24E-12,0.00019918,-7.40E+00,1.99E-05,20,0.05,180,180,0.0045028
